Zeit;Kanal A
(s);(V)

0,04660000;12,48831000
0,04680000;12,48831000
0,04700000;12,48831000
0,04720000;12,48831000
0,04740000;12,48831000
0,04760000;12,48831000
0,04780000;12,48831000
0,04800000;12,48831000
0,04820000;12,48831000
0,04840000;12,48831000
0,04860000;12,48831000
0,04880000;12,48831000
0,04900000;12,48831000
0,04920000;12,48831000
0,04940000;12,48831000
0,04960000;12,48831000
0,04980000;12,48831000
0,05000000;12,48831000
0,05020000;12,48831000
0,05040000;12,48831000
0,05060000;12,48831000
0,05080000;12,48831000
0,05100000;12,48831000
0,05120000;12,48831000
0,05140000;12,48831000
0,05160000;12,48831000
0,05180000;12,48831000
0,05200000;12,48831000
0,05220000;12,48831000
0,05240000;12,48831000
0,05260000;12,48831000
0,05280000;12,48831000
